Date,District Name,ndvi,savi,ndre,Rainfall,Skin_Tmp,Max_Tmp,Min_Tmp,APAR,Potato_Yield,Tomato_Yield,Tomato_b_Yield,Radish_Yield,Carrot_Yield,Cabbage_Yield,Cauliflower_Yield
2019-12-15,5,0.205,0.1283333333333333,0.129,0.0,11.99,18.9,7.21,35.48,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-01-05,5,0.3163333333333333,0.183,0.1956666666666666,0.0,11.98,20.14,6.92,34.03,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-01-12,5,0.4255,0.265,0.2945,0.0,11.05,20.78,5.41,55.16,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-01-26,5,0.5383333333333334,0.3386666666666666,0.3646666666666667,0.0,14.04,23.36,8.52,71.43,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-02-02,5,0.3461999999999999,0.2506,0.2646,0.0,10.37,20.2,5.14,65.92,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-02-09,5,0.633,0.4333333333333333,0.4396666666666666,0.0,11.94,22.67,7.62,71.55,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-02-16,5,0.61825,0.42175,0.44975,0.0,16.26,29.41,9.42,94.48,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-02-23,5,0.60725,0.426,0.45525,0.0,17.98,26.1,10.48,72.34,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-03-01,5,0.5535,0.392,0.4054999999999999,0.0,20.76,27.41,13.31,88.55,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-03-08,5,0.6924,0.4666,0.5075999999999999,0.0,17.13,25.56,10.09,104.37,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-03-15,5,0.5434,0.38,0.3783999999999999,0.19,17.15,24.08,9.23,100.5,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-03-22,5,0.6563333333333333,0.4296666666666667,0.4496666666666666,0.0,23.24,31.48,15.55,113.27,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-03-29,5,0.6,0.38275,0.407,0.0,22.21,30.22,14.03,126.09,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
2020-04-05,5,0.47425,0.3035,0.3067499999999999,0.01,25.27,33.43,15.9,118.45,25.37480798771121,9.51851851851852,0.0,19.2094674556213,21.837275985663084,19.77955555555556,14.449425287356322
