,District Name,Potato_Yield,Tomato_Yield,Tomato_b_Yield,Radish_Yield,Carrot_Yield,Cabbage_Yield,Cauliflower_Yield,Year
7,Sonepat,25.487179487179485,29.484304932735427,0.0,28.142857142857142,29.625,26.436781609195403,23.037542662116042,2019
8,Rohtak,25.9812734082397,26.944444444444443,0.0,25.0,20.0,25.0,22.5,2019
9,Jhajjar,23.484126984126984,14.007048728164266,265.3225806451613,16.4992700729927,16.242331288343557,29.099537037037038,30.627906976744185,2019
10,Faridabad,19.897540983606557,25.272727272727273,65.83333333333333,19.592,20.0625,27.555555555555557,26.16842105263158,2019
11,Mahendragarh,25.055555555555557,18.181818181818183,26.666666666666668,26.8,20.534426229508195,29.235294117647058,31.105263157894736,2019
12,Rewari,24.833333333333332,31.016129032258064,0.0,16.347122302158272,7.608247422680412,20.025,22.559670781893004,2019
13,Gurgaon,24.881818181818183,11.414634146341463,0.0,10.142857142857142,10.565217391304348,12.8,18.8,2019
14,Bhiwani,25.356913183279744,17.02373660030628,64.0909090909091,27.650862068965516,17.756410256410255,15.173076923076923,18.75427872860636,2019
15,Hisar,25.374807987711215,9.518518518518519,0.0,19.2094674556213,21.837275985663084,19.779555555555554,14.449425287356322,2019
16,Fatehabad,26.546641791044777,21.526946107784433,0.0,12.635542168674698,21.333333333333332,15.835616438356164,19.736607142857142,2019
17,Sirsa,29.966950959488273,10.655,0.0,22.79032258064516,16.67924528301887,13.573611111111111,18.942753623188405,2019
18,Jind,27.07078925956062,30.10037373198078,268.1111111111111,13.518796992481203,18.54214876033058,26.393939393939394,32.58997955010225,2019
0,Panchkula,25.916051301982122,29.773529411764706,94.0,21.253731343283583,26.025510204081634,23.225806451612904,23.15573770491803,2020
1,Ambala,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511811,15.0,18.314685314685313,2020
2,Yamuna Nagar,24.844827586206897,30.444444444444443,36.666666666666664,16.0864,14.0,27.44047619047619,18.35871404399323,2020
3,Kurukshetra,26.76595744680851,10.166666666666666,0.0,13.058823529411764,12.926829268292684,11.375,14.778443113772456,2020
4,Kaithal,24.222602739726028,26.404761904761905,90.0,18.20754716981132,17.85185185185185,19.22641509433962,22.821428571428573,2020
5,Karnal,26.553571428571427,27.87719298245614,90.0,20.627062706270628,20.0,20.76,26.929223744292237,2020
6,Panipat,22.941258741258743,20.13278008298755,28.0,14.712518195050945,9.043721403152007,15.209711286089238,12.034533431300515,2020
7,Sonepat,25.487179487179485,29.484304932735427,0.0,28.142857142857142,29.625,26.436781609195403,23.037542662116042,2020
8,Rohtak,25.9812734082397,26.944444444444443,0.0,25.0,20.0,25.0,22.5,2020
9,Jhajjar,23.484126984126984,14.007048728164266,265.3225806451613,16.4992700729927,16.242331288343557,29.099537037037038,30.627906976744185,2020
10,Faridabad,19.897540983606557,25.272727272727273,65.83333333333333,19.592,20.0625,27.555555555555557,26.16842105263158,2020
11,Mahendragarh,25.055555555555557,18.181818181818183,26.666666666666668,26.8,20.534426229508195,29.235294117647058,31.105263157894736,2020
12,Rewari,24.833333333333332,31.016129032258064,0.0,16.347122302158272,7.608247422680412,20.025,22.559670781893004,2020
13,Gurgaon,24.881818181818183,11.414634146341463,0.0,10.142857142857142,10.565217391304348,12.8,18.8,2020
14,Bhiwani,25.356913183279744,17.02373660030628,64.0909090909091,27.650862068965516,17.756410256410255,15.173076923076923,18.75427872860636,2020
15,Hisar,25.374807987711215,9.518518518518519,0.0,19.2094674556213,21.837275985663084,19.779555555555554,14.449425287356322,2020
16,Fatehabad,26.546641791044777,21.526946107784433,0.0,12.635542168674698,21.333333333333332,15.835616438356164,19.736607142857142,2020
17,Sirsa,29.966950959488273,10.655,0.0,22.79032258064516,16.67924528301887,13.573611111111111,18.942753623188405,2020
18,Jind,27.07078925956062,30.10037373198078,268.1111111111111,13.518796992481203,18.54214876033058,26.393939393939394,32.58997955010225,2020
0,Panchkula,27.76795580110497,25.50561797752809,62.5,24.441340782122904,7.429906542056075,13.846153846153847,11.172566371681416,2021
1,Ambala,26.51634349030471,28.41318681318681,178.0,27.694444444444443,23.43990086741016,16.991304347826087,16.78832116788321,2021
2,Yamuna Nagar,27.419354838709676,33.01652892561984,60.57692307692307,14.146376811594203,32.5,28.749726775956283,19.032492022048157,2021
3,Kurukshetra,28.976470588235294,23.642105263157895,0.0,15.309090909090909,14.545454545454545,13.273584905660377,17.268421052631577,2021
4,Kaithal,26.88679245283019,27.097560975609756,70.0,18.41509433962264,17.925925925925927,19.245283018867923,22.333333333333332,2021
5,Karnal,27.676923076923078,16.427272727272726,27.0,19.565217391304348,21.333333333333332,21.785714285714285,27.925233644859812,2021
6,Panipat,26.0,19.043650793650794,80.0,20.0,12.0,24.0,25.0,2021
7,Sonepat,10.546875,15.854014598540147,0.0,28.0,2.8666666666666667,8.178571428571429,6.656410256410257,2021
8,Rohtak,32.5,26.94,0.0,22.30952380952381,18.166666666666668,51.4,32.0,2021
9,Jhajjar,26.076555023923444,12.39327296248383,300.0,18.317757009345794,11.71875,11.528571428571428,30.0,2021
10,Faridabad,26.92222222222222,26.80672268907563,65.0,20.875,29.867924528301888,27.61111111111111,28.18918918918919,2021
11,Mahendragarh,26.25,18.094594594594593,50.0,24.707142857142856,20.04,19.970588235294116,25.72222222222222,2021
12,Rewari,6.428571428571429,20.357142857142858,77.5,36.24812030075188,23.971698113207548,18.9,19.4,2021
13,Gurgaon,27.75,20.0,0.0,24.0,20.0,20.0,20.0,2021
14,Bhiwani,22.928125,13.02638036809816,70.14705882352942,19.271978021978022,9.666666666666666,11.4438202247191,15.177914110429448,2021
15,Hisar,25.0,10.0,0.0,24.389423076923077,17.82162162162162,6.904761904761905,14.422318125770653,2021
16,Fatehabad,27.256637168141594,21.528455284552845,0.0,9.818181818181818,17.00862068965517,19.64,11.968739607582307,2021
17,Sirsa,25.96537949400799,21.597701149425287,0.0,20.156756756756756,16.56198347107438,30.641304347826086,20.565055762081784,2021
18,Jind,30.359798994974874,30.75483870967742,379.2857142857143,12.419153365718252,18.488372093023255,29.902262443438914,35.19441340782123,2021
