Date,ndvi,savi,ndre,District Name,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2021-05-02,0.22599999999999998,0.15250000000000002,0.131,Ambala,4.12,32.21,37.56,25.49,109.49
2021-05-09,0.15666666666666665,0.10666666666666667,0.07433333333333333,Ambala,0.98,31.63,37.21,23.19,112.22
2021-05-16,0.22749999999999998,0.15150000000000002,0.129,Ambala,0.0,32.65,39.12,22.41,145.62
2021-05-23,,,,Ambala,1.96,31.16,37.62,22.56,124.12
2021-05-30,0.23575,0.1625,0.1385,Ambala,5.11,32.52,37.04,24.9,140.84
2021-06-06,0.022,0.021,-0.017,Ambala,1.34,34.32,38.82,25.03,138.15
2021-06-13,0.219,0.154,0.121,Ambala,1.71,33.06,37.38,26.04,116.48
2021-06-20,,,,Ambala,1.5,32.22,37.22,24.07,116.83
2021-06-27,0.29100000000000004,0.198,0.1745,Ambala,0.0,34.09,39.08,26.01,137.81
2021-07-04,0.28450000000000003,0.1945,0.1605,Ambala,6.35,33.97,38.26,27.48,116.91
2021-07-11,0.33,0.2275,0.1885,Ambala,5.56,33.84,37.41,27.69,91.3
2021-07-18,,,,Ambala,20.03,31.81,35.92,26.73,65.48
2021-07-25,,,,Ambala,2.54,30.51,34.46,26.81,76.22
2021-08-01,,,,Ambala,4.44,28.8,31.56,25.78,85.33
2021-08-08,,,,Ambala,16.44,28.42,31.65,25.05,85.88
2021-08-15,0.563,0.381,0.393,Ambala,1.74,28.37,32.72,25.28,110.59
2021-08-22,0.709,0.48350000000000004,0.514,Ambala,9.21,27.53,31.15,24.08,85.17
2021-08-29,0.599,0.427,0.427,Ambala,7.01,27.13,31.19,23.26,95.78
2021-09-05,,,,Ambala,0.18,26.77,30.39,22.18,109.03
2021-09-12,0.556,0.381,0.388,Ambala,20.95,26.65,30.38,23.4,59.52
2021-09-19,0.7484999999999999,0.471,0.4835,Ambala,3.38,27.11,30.87,23.02,90.15
